2024-07-25 13:05:41,604 INFO [root] [base.py (base_click:34] - 正在点击元素：('css selector', '#simple5')
2024-07-25 13:05:41,604 INFO [root] [base.py (base_find_element:22] - 正在查找元素：('css selector', '#simple5')
2024-07-25 13:05:41,824 INFO [root] [base.py (base_click:34] - 正在点击元素：('css selector', '#simple9')
2024-07-25 13:05:41,825 INFO [root] [base.py (base_find_element:22] - 正在查找元素：('css selector', '#simple9')
2024-07-25 13:05:42,041 INFO [root] [base.py (base_click:34] - 正在点击元素：('css selector', '#simpleEqual')
2024-07-25 13:05:42,041 INFO [root] [base.py (base_find_element:22] - 正在查找元素：('css selector', '#simpleEqual')
2024-07-25 13:05:42,260 INFO [root] [base.py (base_find_element:22] - 正在查找元素：('css selector', '#resultIpt')
2024-07-25 13:05:42,265 INFO [root] [base.py (base_get_value:46] - 查找元素('css selector', '#resultIpt'),输入内容163170
2024-07-25 13:05:42,265 INFO [root] [base.py (base_find_element:22] - 正在查找元素：('css selector', '#resultIpt')
2024-07-25 13:05:42,269 INFO [root] [base.py (base_get_value:46] - 查找元素('css selector', '#resultIpt'),输入内容163170
2024-07-25 13:05:42,271 INFO [root] [base.py (base_click:34] - 正在点击元素：('css selector', '#simple9')
2024-07-25 13:05:42,271 INFO [root] [base.py (base_find_element:22] - 正在查找元素：('css selector', '#simple9')
2024-07-25 13:05:42,492 INFO [root] [base.py (base_click:34] - 正在点击元素：('css selector', '#simple9')
2024-07-25 13:05:42,492 INFO [root] [base.py (base_find_element:22] - 正在查找元素：('css selector', '#simple9')
2024-07-25 13:05:42,715 INFO [root] [base.py (base_click:34] - 正在点击元素：('css selector', '#simple7')
2024-07-25 13:05:42,716 INFO [root] [base.py (base_find_element:22] - 正在查找元素：('css selector', '#simple7')
2024-07-25 13:05:42,932 INFO [root] [base.py (base_click:34] - 正在点击元素：('css selector', '#simpleAdd')
2024-07-25 13:05:42,932 INFO [root] [base.py (base_find_element:22] - 正在查找元素：('css selector', '#simpleAdd')
2024-07-25 13:05:43,155 INFO [root] [base.py (base_click:34] - 正在点击元素：('css selector', '#simple4')
2024-07-25 13:05:43,156 INFO [root] [base.py (base_find_element:22] - 正在查找元素：('css selector', '#simple4')
2024-07-25 13:05:43,371 INFO [root] [base.py (base_click:34] - 正在点击元素：('css selector', '#simple7')
2024-07-25 13:05:43,371 INFO [root] [base.py (base_find_element:22] - 正在查找元素：('css selector', '#simple7')
2024-07-25 13:05:43,591 INFO [root] [base.py (base_click:34] - 正在点击元素：('css selector', '#simple2')
2024-07-25 13:05:43,591 INFO [root] [base.py (base_find_element:22] - 正在查找元素：('css selector', '#simple2')
2024-07-25 13:05:43,811 INFO [root] [base.py (base_click:34] - 正在点击元素：('css selector', '#simpleEqual')
2024-07-25 13:05:43,811 INFO [root] [base.py (base_find_element:22] - 正在查找元素：('css selector', '#simpleEqual')
2024-07-25 13:05:44,030 INFO [root] [base.py (base_find_element:22] - 正在查找元素：('css selector', '#resultIpt')
2024-07-25 13:05:44,034 INFO [root] [base.py (base_get_value:46] - 查找元素('css selector', '#resultIpt'),输入内容1469
2024-07-25 13:05:44,034 INFO [root] [base.py (base_find_element:22] - 正在查找元素：('css selector', '#resultIpt')
2024-07-25 13:05:44,038 INFO [root] [base.py (base_get_value:46] - 查找元素('css selector', '#resultIpt'),输入内容1469
2024-07-25 13:05:44,039 INFO [root] [base.py (base_click:34] - 正在点击元素：('css selector', '#simple3')
2024-07-25 13:05:44,039 INFO [root] [base.py (base_find_element:22] - 正在查找元素：('css selector', '#simple3')
2024-07-25 13:05:44,263 INFO [root] [base.py (base_click:34] - 正在点击元素：('css selector', '#simple1')
2024-07-25 13:05:44,263 INFO [root] [base.py (base_find_element:22] - 正在查找元素：('css selector', '#simple1')
2024-07-25 13:05:44,481 INFO [root] [base.py (base_click:34] - 正在点击元素：('css selector', '#simple4')
2024-07-25 13:05:44,481 INFO [root] [base.py (base_find_element:22] - 正在查找元素：('css selector', '#simple4')
2024-07-25 13:05:44,700 INFO [root] [base.py (base_click:34] - 正在点击元素：('css selector', '#simpleSubtr')
2024-07-25 13:05:44,700 INFO [root] [base.py (base_find_element:22] - 正在查找元素：('css selector', '#simpleSubtr')
2024-07-25 13:05:44,920 INFO [root] [base.py (base_click:34] - 正在点击元素：('css selector', '#simple3')
2024-07-25 13:05:44,920 INFO [root] [base.py (base_find_element:22] - 正在查找元素：('css selector', '#simple3')
2024-07-25 13:05:45,138 INFO [root] [base.py (base_click:34] - 正在点击元素：('css selector', '#simple3')
2024-07-25 13:05:45,138 INFO [root] [base.py (base_find_element:22] - 正在查找元素：('css selector', '#simple3')
2024-07-25 13:05:45,352 INFO [root] [base.py (base_click:34] - 正在点击元素：('css selector', '#simple6')
